序号	ID	['出租', '景点', '酒店', '餐馆', '地铁']
298	352	[0, 1, 1, 1, 0]
299	353	[0, 1, 1, 1, 0]
300	354	[0, 1, 1, 1, 0]
301	355	[0, 1, 1, 1, 0]
302	356	[0, 1, 1, 1, 0]
303	357	[0, 1, 1, 1, 0]
304	358	[0, 1, 1, 1, 0]
305	359	[0, 1, 1, 1, 0]
306	360	[0, 1, 1, 1, 0]
307	361	[0, 1, 1, 1, 0]
308	362	[0, 1, 1, 1, 0]
309	363	[0, 1, 1, 1, 0]
310	364	[0, 1, 1, 1, 0]
311	365	[0, 1, 1, 1, 0]
312	366	[0, 1, 1, 1, 0]
313	367	[0, 1, 1, 1, 0]
314	368	[0, 1, 1, 1, 0]
315	369	[0, 1, 1, 1, 0]
316	370	[0, 1, 1, 1, 0]
317	371	[0, 1, 1, 1, 0]
318	372	[0, 1, 1, 1, 0]
319	373	[0, 1, 1, 1, 0]
320	374	[0, 1, 1, 1, 0]
321	375	[0, 1, 1, 1, 0]
322	376	[0, 1, 1, 1, 0]
323	377	[0, 1, 1, 1, 0]
324	378	[0, 1, 1, 1, 0]
325	379	[0, 1, 1, 1, 0]
326	380	[0, 1, 1, 1, 0]
327	381	[0, 1, 1, 1, 0]
328	382	[0, 1, 1, 1, 0]
329	383	[0, 1, 1, 1, 0]
330	384	[0, 1, 1, 1, 0]
331	385	[0, 1, 1, 1, 0]
332	386	[0, 1, 1, 1, 0]
333	387	[0, 1, 1, 1, 0]
334	388	[0, 1, 1, 1, 0]
335	389	[0, 1, 1, 1, 0]
336	390	[0, 1, 1, 1, 0]
337	391	[0, 1, 1, 1, 0]
338	392	[0, 1, 1, 1, 0]
339	393	[0, 1, 1, 1, 0]
340	394	[0, 1, 1, 1, 0]
341	395	[0, 1, 1, 1, 0]
342	396	[0, 1, 1, 1, 0]
343	397	[0, 1, 1, 1, 0]
344	398	[0, 1, 1, 1, 0]
345	399	[0, 1, 1, 1, 0]
346	400	[0, 1, 1, 1, 0]
347	401	[0, 1, 1, 1, 0]
348	402	[0, 1, 1, 1, 0]
349	403	[0, 1, 1, 1, 0]
350	404	[0, 1, 1, 1, 0]
351	405	[0, 1, 1, 1, 0]
352	406	[0, 1, 1, 1, 0]
353	407	[0, 1, 1, 1, 0]
354	408	[0, 1, 1, 1, 0]
355	409	[0, 1, 1, 1, 0]
356	410	[0, 1, 1, 1, 0]
357	411	[0, 1, 1, 1, 0]
358	412	[0, 1, 1, 1, 0]
359	413	[0, 1, 1, 1, 0]
360	414	[0, 1, 1, 1, 0]
361	415	[0, 1, 1, 1, 0]
362	416	[0, 1, 1, 1, 0]
363	417	[0, 1, 1, 1, 0]
364	418	[0, 1, 1, 1, 0]
365	419	[0, 1, 1, 1, 0]
366	420	[0, 1, 1, 1, 0]
367	421	[0, 1, 1, 1, 0]
368	422	[0, 1, 1, 1, 0]
369	423	[0, 1, 1, 1, 0]
370	424	[0, 1, 1, 1, 0]
371	425	[0, 1, 1, 1, 0]
372	426	[0, 1, 1, 1, 0]
373	427	[0, 1, 1, 1, 0]
374	428	[0, 1, 1, 1, 0]
375	429	[0, 1, 1, 1, 0]
376	430	[0, 1, 1, 1, 0]
377	431	[0, 1, 1, 1, 0]
378	432	[0, 1, 1, 1, 0]
379	433	[0, 1, 1, 1, 0]
380	434	[0, 1, 1, 1, 0]
381	435	[0, 1, 1, 1, 0]
382	436	[0, 1, 1, 1, 0]
383	437	[0, 1, 1, 1, 0]
384	438	[0, 1, 1, 1, 0]
385	439	[0, 1, 1, 1, 0]
386	440	[0, 1, 1, 1, 0]
387	441	[0, 1, 1, 1, 0]
388	442	[0, 1, 1, 1, 0]
389	443	[0, 1, 1, 1, 0]
390	444	[0, 1, 1, 1, 0]
391	445	[0, 1, 1, 1, 0]
392	446	[0, 1, 1, 1, 0]
393	447	[0, 1, 1, 1, 0]
394	448	[0, 1, 1, 1, 0]
395	449	[0, 1, 1, 1, 0]
396	450	[0, 1, 1, 1, 0]
397	451	[0, 1, 1, 1, 0]
398	452	[0, 1, 1, 1, 0]
399	453	[0, 1, 1, 1, 0]
400	454	[0, 1, 1, 1, 0]
401	455	[0, 1, 1, 1, 0]
402	456	[0, 1, 1, 1, 0]
403	457	[0, 1, 1, 1, 0]
404	458	[0, 1, 1, 1, 0]
405	459	[0, 1, 1, 1, 0]
406	460	[0, 1, 1, 1, 0]
407	461	[0, 1, 1, 1, 0]
408	462	[0, 1, 1, 1, 0]
409	463	[0, 1, 1, 1, 0]
410	464	[0, 1, 1, 1, 0]
411	465	[0, 1, 1, 1, 0]
412	466	[0, 1, 1, 1, 0]
413	467	[0, 1, 1, 1, 0]
414	468	[0, 1, 1, 1, 0]
415	469	[0, 1, 1, 1, 0]
416	470	[0, 1, 1, 1, 0]
417	471	[0, 1, 1, 1, 0]
418	472	[0, 1, 1, 1, 0]
419	473	[0, 1, 1, 1, 0]
420	474	[0, 1, 1, 1, 0]
421	475	[0, 1, 1, 1, 0]
422	476	[0, 1, 1, 1, 0]
423	477	[0, 1, 1, 1, 0]
424	478	[0, 1, 1, 1, 0]
425	479	[0, 1, 1, 1, 0]
426	480	[0, 1, 1, 1, 0]
427	481	[0, 1, 1, 1, 0]
428	482	[0, 1, 1, 1, 0]
429	483	[0, 1, 1, 1, 0]
430	484	[0, 1, 1, 1, 0]
431	485	[0, 1, 1, 1, 0]
432	486	[0, 1, 1, 1, 0]
433	487	[0, 1, 1, 1, 0]
434	488	[0, 1, 1, 1, 0]
435	489	[0, 1, 1, 1, 0]
436	490	[0, 1, 1, 1, 0]
437	491	[0, 1, 1, 1, 0]
438	492	[0, 1, 1, 1, 0]
439	493	[0, 1, 1, 1, 0]
440	494	[0, 1, 1, 1, 0]
441	495	[0, 1, 1, 1, 0]
442	496	[0, 1, 1, 1, 0]
443	497	[0, 1, 1, 1, 0]
444	498	[0, 1, 1, 1, 0]
445	499	[0, 1, 1, 1, 0]
446	500	[0, 1, 1, 1, 0]
447	501	[0, 1, 1, 1, 0]
448	502	[0, 1, 1, 1, 0]
449	503	[0, 1, 1, 1, 0]
450	504	[0, 1, 1, 1, 0]
451	505	[0, 1, 1, 1, 0]
452	506	[0, 1, 1, 1, 0]
453	507	[0, 1, 1, 1, 0]
454	508	[0, 1, 1, 1, 0]
455	509	[0, 1, 1, 1, 0]
456	510	[0, 1, 1, 1, 0]
457	511	[0, 1, 1, 1, 0]
458	512	[0, 1, 1, 1, 0]
459	513	[0, 1, 1, 1, 0]
460	514	[0, 1, 1, 1, 0]
461	515	[0, 1, 1, 1, 0]
462	516	[0, 1, 1, 1, 0]
463	517	[0, 1, 1, 1, 0]
464	518	[0, 1, 1, 1, 0]
465	519	[0, 1, 1, 1, 0]
466	520	[0, 1, 1, 1, 0]
467	521	[0, 1, 1, 1, 0]
468	522	[0, 1, 1, 1, 0]
469	523	[0, 1, 1, 1, 0]
470	524	[0, 1, 1, 1, 0]
471	525	[0, 1, 1, 1, 0]
472	526	[0, 1, 1, 1, 0]
473	527	[0, 1, 1, 1, 0]
474	528	[0, 1, 1, 1, 0]
475	529	[0, 1, 1, 1, 0]
476	530	[0, 1, 1, 1, 0]
477	531	[0, 1, 1, 1, 0]
478	532	[0, 1, 1, 1, 0]
479	533	[0, 1, 0, 1, 0]
480	534	[0, 1, 0, 1, 0]
481	535	[0, 1, 0, 1, 0]
482	536	[0, 1, 0, 1, 0]
483	537	[0, 1, 0, 1, 0]
484	538	[0, 1, 0, 1, 0]
485	539	[0, 1, 0, 1, 0]
486	540	[0, 1, 0, 1, 0]
487	541	[0, 1, 0, 1, 0]
488	542	[0, 1, 0, 1, 0]
489	543	[0, 1, 0, 1, 0]
490	544	[0, 1, 0, 1, 0]
491	545	[0, 1, 0, 1, 0]
492	546	[0, 1, 0, 1, 0]
493	547	[0, 1, 0, 1, 0]
494	548	[0, 1, 0, 1, 0]
495	549	[0, 1, 0, 1, 0]
496	550	[0, 1, 0, 1, 0]
497	551	[0, 1, 0, 1, 0]
498	552	[0, 1, 0, 1, 0]
499	553	[0, 1, 0, 1, 0]
500	554	[0, 0, 1, 0, 0]
501	555	[0, 0, 1, 0, 0]
502	556	[0, 0, 1, 0, 0]
503	557	[0, 0, 1, 0, 0]
504	558	[0, 0, 1, 0, 0]
505	559	[0, 0, 1, 0, 0]
506	560	[0, 0, 1, 0, 0]
507	561	[0, 0, 1, 0, 0]
508	562	[0, 0, 1, 0, 0]
509	563	[0, 0, 1, 0, 0]
510	564	[0, 0, 1, 0, 0]
511	565	[0, 0, 1, 0, 0]
512	566	[0, 0, 1, 1, 0]
513	567	[0, 0, 1, 0, 0]
514	568	[0, 0, 1, 1, 0]
515	569	[0, 0, 1, 1, 0]
516	570	[0, 0, 1, 0, 0]
517	571	[0, 0, 1, 1, 0]
518	572	[0, 0, 1, 0, 0]
519	573	[0, 0, 1, 1, 0]
520	574	[0, 0, 1, 0, 0]
521	575	[0, 0, 1, 1, 0]
522	576	[0, 0, 1, 0, 0]
523	577	[0, 0, 1, 1, 0]
524	578	[0, 0, 1, 1, 0]
525	579	[0, 0, 1, 0, 0]
526	580	[0, 0, 1, 1, 0]
527	581	[0, 0, 1, 0, 0]
528	582	[0, 0, 1, 1, 0]
529	583	[0, 0, 1, 0, 0]
530	584	[0, 0, 1, 1, 0]
531	585	[0, 0, 1, 0, 0]
532	586	[0, 0, 1, 0, 0]
533	587	[0, 0, 1, 1, 0]
534	588	[0, 0, 1, 0, 0]
535	589	[0, 0, 1, 0, 0]
536	590	[0, 0, 1, 0, 0]
537	591	[0, 0, 1, 0, 0]
538	592	[0, 0, 1, 1, 0]
539	593	[0, 0, 1, 1, 0]
540	594	[0, 0, 1, 1, 0]
541	595	[0, 0, 1, 1, 0]
542	596	[0, 0, 1, 1, 0]
543	597	[0, 0, 1, 1, 0]
544	598	[0, 0, 1, 1, 0]
545	599	[0, 0, 1, 1, 0]
546	600	[0, 0, 1, 1, 0]
547	601	[0, 0, 1, 1, 0]
548	602	[0, 0, 1, 1, 0]
549	603	[0, 0, 1, 1, 0]
