id:ID,name,_uri,:LABEL
146,推荐菜-腰子,,goal
147,推荐菜-酸辣蕨根粉,,goal
148,推荐菜-麻豆腐,,goal
149,酒店设施-棋牌室,,goal
150,推荐菜-农家一锅鲜,,goal
151,推荐菜-叉烧包,,goal
152,推荐菜-回锅肉,,goal
153,推荐菜-小龙虾,,goal
154,推荐菜-尖椒肉丝,,goal
155,推荐菜-手抓饼,,goal
156,推荐菜-泡菜汤,,goal
157,推荐菜-炸花生米,,goal
158,推荐菜-烤生蚝,,goal
159,推荐菜-烤腰子,,goal
160,推荐菜-烤青花鱼,,goal
161,推荐菜-爆肚,,goal
162,推荐菜-糊塌子,,goal
163,推荐菜-素三鲜,,goal
164,推荐菜-花溪牛肉粉,,goal
165,推荐菜-蛋挞,,goal
166,推荐菜-蟹棒,,goal
167,推荐菜-酸辣土豆丝,,goal
168,推荐菜-酸辣粉,,goal
169,推荐菜-金枪鱼沙拉,,goal
170,推荐菜-鲍鱼捞饭,,goal
171,推荐菜-鸿运当头,,goal
172,推荐菜-黑虎虾,,goal
173,酒店设施-收费停车位,,goal
174,酒店设施-酒吧,,goal
